,loc,total_count,lat,lng,type
76,RANCHO MISSION RD,502021.0,32.7827974,-117.1104334,both
77,MONTONGO ST,499368.0,32.9149367,-117.1522685,both
78,CLEVELAND AV,494857.0,32.87936035,-117.0958639,both
79,MIRAMAR RD,494392.0,32.8938447,-117.12599219999998,both
80,RANCHO BERNARDO RD,493979.0,33.0181234,-117.0576313,both
81,41 ST,490007.0,32.7531249,-117.10691149999998,both
82,MAIN ST,488767.0,32.6837975,-117.1129239,both
83,HILLSIDE DR,486356.0,32.9899034,-116.84980295,start_only
84,OHIO ST,482961.0,32.9615799,-117.119492,both
85,WESTMORE RD,481604.0,32.9178327,-117.1438748,both
86,38 ST,480813.0,32.7500652,-117.1118654,both
87,52 ST,478577.0,32.7489909,-117.0836044,both
88,RUFFNER ST,478389.0,32.830811,-117.158867,both
89,RIVERDALE ST,475266.0,32.7904245,-117.099609,both
90,LYON ST,472982.0,32.720459,-117.090942,end_only
91,W BERNARDO DR,472373.0,33.0106507,-117.09151,both
92,39 ST,468329.0,32.7571463,-117.1103992,both
93,LAMONT ST,466862.0,32.7990444,-117.2347334,both
94,LOUISIANA ST,463723.0,32.752182,-117.140053,both
95,RICKERT RD,457859.0,32.91521,-117.127028,both
96,KENDALL ST,454358.0,32.798683,-117.236572,both
97,RANCHO CARMEL DR,453890.0,32.9790464,-117.0819064,both
98,NATIONAL AV,453716.0,32.6961411,-117.1039724,both
99,COLLEGE GROVE DR,453235.0,32.7374122,-117.0590354,both
100,EXECUTIVE DR,441394.0,32.876744,-117.2072772,both
101,NORMAL ST,435218.0,32.7505832,-117.1488631,both
102,31 ST,433601.0,32.72772153333333,-117.15188156666666,both
103,COMMERCE AV,432690.0,32.880119,-117.1679039,start_only
104,AMALFI ST,432568.0,32.848232,-117.262642,start_only
105,MORENA BL,429959.0,32.814175,-117.212463,start_only
106,50 ST,423962.0,32.744514,-117.087471,both
107,07 AV,423619.0,32.7188575,-117.1583629,both
108,SEA WORLD DR,423566.0,32.7649794,-117.2087239,both
109,AERO DR,421580.0,32.8096863,-117.1463609,both
110,INDIA ST,418729.0,32.741543,-117.17971,both
111,CAMINO RIO N ,417281.0,32.8866727,-116.9226124,both
112,CLAIREMONT DR,415492.0,32.8038,-117.19911659999998,both
113,MENLO AV,404542.0,32.7448394,-117.2073816,both
114,NOYES ST,403646.0,32.8000382,-117.2311545,end_only
115,UTAH ST,403235.0,32.7485632,-117.1326383,both
116,THOMAS AV,400833.0,32.7935508,-117.2552365,both
117,GOVERNOR DR,397419.0,32.8223176,-117.20468216666666,both
118,MARILOU RD,397103.0,32.803242,-117.066177,both
119,58 ST,397040.0,32.7572006,-117.0728922,both
120,MISSION BAY DR,396803.0,32.8062185,-117.2190033,both
121,FRAZEE RD,396551.0,32.7723016,-117.1570787,start_only
122,WIGHTMAN ST,394557.0,32.7477465,-117.1010359,both
123,KANSAS ST,392167.0,32.735608799999994,-117.1290006,end_only
124,55 ST,388914.0,32.7716241,-117.07632010000002,both
125,QUINCE ST,388820.0,32.736507,-117.081444,both
126,VINE ST,386340.0,32.7392128,-117.1792443,both
127,WOODMAN ST,383744.0,32.709701,-117.0546294,both
128,29 ST,381593.0,32.7431867,-117.1310024,both
129,TALBOT ST,381548.0,32.7202709,-117.2331596,both
130,MISSISSIPPI ST,380663.0,32.759106,-117.141312,both
131,FEDERAL BL,378634.0,32.7271568,-117.0694776,both
132,28 ST,377421.0,32.696239275,-117.119088075,both
133,36 ST,376166.0,32.7548597,-117.1157743,both
134,BERNARDO CTR DR,372716.0,33.0216938,-117.0744844,both
135,FLANDERS DR,370671.0,32.90494828571428,-117.17136707142858,both
136,HAINES ST,369622.0,32.91573045,-117.16210825,both
137,STATE ST,369108.0,32.7191404,-117.1664942,end_only
138,PALM ST,364401.0,32.7355749,-117.1604633,both
139,17 ST,362495.0,32.71632333333333,-117.1489271,both
140,ARMOUR ST,359715.0,32.8199884,-117.151969,both
141,TENNYSON ST,357939.0,32.7395949,-117.2318695,both
142,MESA COLLEGE DR,356477.0,32.8023259,-117.1616968,both
143,GAINES ST,354395.0,32.7662133,-117.1902193,both
144,MISSION AV,350703.0,32.759102,-117.14306600000002,both
145,35 ST,348822.0,32.7500396,-117.1180499,both
146,LYTTON ST,346897.0,32.7438833,-117.2118094,both
147,IMPERIAL AV,341977.0,32.7064323,-117.1252448,both
148,HORNBLEND ST,336275.0,32.798042,-117.244232,both
149,CARMEL VY RD,334863.0,32.9517747,-117.1943397,both
150,JACKSON DR,334426.0,32.7094194,-117.1575129,both
151,EL CAMINO REAL ,332702.0,32.829182,-117.258621,both
152,WORLD TRADE DR,332029.0,32.983925,-117.073914,both
153,MERCY RD,331974.0,32.8219016,-117.1488519,both
154,SASSAFRAS ST,328943.0,32.7358648,-117.178479,both
155,ALDINE DR,328880.0,32.7635355,-117.0978908,both
156,MADISON AV,328828.0,32.7609805,-117.1391925,both
157,MT RIAS PL,328214.0,32.8198534,-117.1734573,end_only
158,14 ST,328140.0,32.7058247,-117.1518866,both
159,JUNIPER ST,327325.0,32.7292898,-117.1619674,both
160,DAMON AV,327219.0,32.8072849,-117.2191154,both
161,GRESHAM ST,326188.0,32.7988355,-117.2444792,both
162,ZION AV,325244.0,32.7927593,-117.0806983,both
163,ADAMS AV,323973.0,32.7633807,-117.1254226,both
164,SPRING CANYON RD,323190.0,32.9099518,-117.0623129,both
165,PENNSYLVANIA AV,321771.0,32.7451382,-117.1605248,both
166,CAPRICORN WY,320513.0,32.9250435,-117.142731,both
167,HARBOR DR,320054.0,32.689965,-117.13159790000002,both
168,46 ST,315933.0,32.7530387,-117.0954746,both
169,45 ST,315847.0,32.7591397,-117.0978007,both
170,BARNETT AV,314263.0,32.7448275,-117.1995052,both
171,CASS ST,312789.0,32.796444,-117.251549,both
172,03 AV,311946.0,32.7093924,-117.1619341,both
173,AFTON RD,311761.0,32.8081378,-117.1444817,both
174,MORAGA AV,310290.0,32.816031,-117.210751,both
175,GOLFCREST DR,307768.0,32.79784,-117.042122,both
176,32 ST,305742.0,32.7642245,-117.12498320000002,both
177,CAMINO RUIZ RD,305530.0,33.0044606,-117.169729,both
178,PICO ST,302144.0,32.807331,-117.223267,start_only
179,SKYLINE DR,301639.0,32.704735,-117.028923,both
180,HIGH BLUFF DR,300857.0,32.9438974,-117.23954829999998,both
181,LORING ST,298891.0,32.8048046,-117.2589538,both
182,NAVAJO RD,298462.0,32.804566,-117.0418303,both
183,44 ST,298461.0,32.755704,-117.1002254,both
184,GUYMON ST,297700.0,32.7114816,-117.089416,both
185,ILLINOIS ST,294414.0,32.9632195,-117.132299,end_only
186,42 ST,293507.0,32.7457831,-117.1045088,both
187,SANDROCK RD,293103.0,32.809446,-117.1400737,both
188,15 ST,291757.0,32.7174202,-117.1627728,both
189,DAGGET ST,291537.0,32.8235931,-117.1546254,both
190,BLACK MTN  RD,290980.0,32.9891419,-117.1266465,both
191,GILMAN DR,290728.0,32.8509661,-117.236419,start_only
192,NAPA ST,290246.0,32.7647901,-117.1961278,both
193,DAWES ST,289266.0,32.8038345,-117.2518654,both
194,ROSEWOOD ST,288584.0,33.159592,-117.252876,start_only
195,CONFERENCE WY,285892.0,32.985699,-117.077087,both
196,FANUEL ST,284918.0,32.7947502,-117.2451888,both
197,KEMPER ST,284830.0,32.757591,-117.041901,both
198,TEXAS ST,283668.0,32.7706845,-117.1400061,both
199,MT ABERNATHY AV,283210.0,32.8292325,-117.1714406,both
200,LOGAN AV,282427.0,32.6968039,-117.0916289,both
201,CAMINO REINA ,282365.0,32.7677176,-117.1552374,both
202,MADRID ST,281922.0,32.747608,-117.211632,end_only
203,MALAGA ST,281922.0,32.746902,-117.21183,start_only
204,DISTRIBUTION AV,280687.0,32.8824298,-117.1631399,end_only
205,WABASH AV,277201.0,32.7489948,-117.1207433,both
206,EMERSON ST,276824.0,32.724954,-117.2303534,both
207,ULRIC ST,276615.0,32.7707225,-117.162888,both
208,DEL MAR HTS RD,274507.0,32.9485786,-117.2593425,both
209,FIR ST,274051.0,32.7255126,-117.0870027,both
210,STERNE ST,270287.0,32.7352239,-117.2261852,start_only
211,BANCROFT ST,269259.0,32.7455229,-117.1239441,both
212,BEYER BL,268273.0,32.5653829,-117.0597,both
213,AIRWAY RD,268215.0,32.5645375,-117.0153262,both
214,VERMONT ST,267153.0,32.746929,-117.153442,both
215,40 ST,266576.0,32.993561549999995,-116.78543885,both
216,RADCLIFFE LN,266402.0,32.8522549,-117.2042757,both
217,BLUFFSIDE AV,266224.0,32.800627000000006,-117.125225,both
218,ROCKFORD DR,265436.0,32.7690881,-117.0678272,both
219,EXECUTIVE WY,263261.0,32.8738044,-117.209694,end_only
220,CLAYTON DR,262780.0,32.8949215,-117.13102,end_only
221,ROSELAND DR,262565.0,32.850994,-117.259163,start_only
222,MISSION CENTER RD,262029.0,32.7658291,-117.15357109999998,both
223,SEVILLE ST,257227.0,32.746128,-117.212669,end_only
224,RILEY ST,256877.0,32.767017,-117.1903691,both
225,WITHERBY ST,253423.0,32.7451652,-117.1929629,both
226,FELSPAR ST,253102.0,32.7976115,-117.2552478,both
227,CALIENTE AV,252878.0,32.5651081,-117.0149647,both
228,CARGILL AV,251936.0,32.8650125,-117.2164836,both
229,VILLA LA JOLLA DR,251903.0,32.8661733,-117.2335014,both
230,ZOO PL,251722.0,32.7352765,-117.1475955,both
231,KALMIA ST,251550.0,32.7303337,-117.161321,both
232,HEALTH CTR DR,250554.0,32.7952951,-117.1573389,start_only
233,DECORO ST,249592.0,32.8641391,-117.2142307,both
234,LANDIS ST,248701.0,32.7459042,-117.1026726,both
235,MISSION CTR RD,247846.0,32.7658291,-117.1535711,end_only
236,FLORIDA ST,247018.0,32.7539275,-117.143761,both
237,CALLE PLATA DR,245946.0,32.7246402,-117.2367784,end_only
238,26 ST,245423.0,32.867333566666666,-117.2152302,both
239,WINONA AV,244739.0,32.91993,-117.181633,both
240,OLD EL CAMINO REAL ,243492.0,32.9694667,-117.2315618,both
241,LA MEDIA RD,243379.0,32.5638758,-116.962387,both
242,49 ST,242667.0,32.7223523,-117.0897808,start_only
243,EAGLE ST,241539.0,32.7483312,-117.1695604,both
244,PRODUCTION  AV,241430.0,32.8822812,-117.1658387,both
245,TORREY PINES RD,239138.0,32.844807,-117.26991300000002,both
246,VOLTAIRE ST,238414.0,32.7521938,-117.24687980000002,both
247,CLOUDCREST DR,238271.0,33.0090015,-117.0853661,end_only
248,CHESAPEAKE DR,236634.0,32.837879,-117.129646,both
249,POMERADO RD,236544.0,32.9148655,-117.0711548,both
250,DATE ST,235293.0,32.708832,-117.063263,both
251,MONROE AV,234252.0,32.7589932,-117.08629179999998,both
252,DEL MAR HILLS DR,233860.0,32.951989999999995,-117.24178487971488,start_only
253,CORPORATE CENTER DR,232204.0,32.5714804,-117.0053708,end_only
254,MIDWAY DR,231760.0,32.7507333,-117.2128798,both
255,REED AV,231534.0,32.7927487,-117.2542037,both
256,DIAMOND ST,231460.0,32.802166,-117.243568,both
257,UNIVERSITY SQ DY,230397.0,32.7484766,-117.1239509,end_only
258,CAMPANILE DR,229757.0,32.7712116,-117.0718574,both
259,GREENFORD DR,228588.0,32.9112817,-117.1313516,both
260,12 AV,226331.0,32.7174202,-117.1627728,both
261,PASEO MONTANOSO DR,223686.0,33.0001234,-117.0868552,start_only
262,PARADISE VY RD,223213.0,32.688251,-117.048828,both
263,EMERALD ST,222402.0,32.804085,-117.230438,both
264,PALM AV,222324.0,32.5843352,-117.0838845,both
265,CROWN POINT DR,221679.0,32.784885,-117.234016,start_only
266,MT ETNA DR,221154.0,32.821316,-117.187752,both
267,LITTLE ST,221000.0,32.849985,-117.2593481,end_only
268,POLK AV,220945.0,32.752212,-117.1290697,both
269,DABNEY DR,220907.0,32.9081631,-117.1582057,start_only
270,B WILSON DR,218475.0,32.725886,-117.1432262,both
271,ALTA VIEW DR,218155.0,32.676048,-117.038589,both
272,ESPLANADE CT,217034.0,32.8698207,-117.2147919,both
273,62 ST,216960.0,32.7098724,-117.0639631,both
274,ISLAND AV,215623.0,32.710453,-117.1458158,both
275,KATELYN CT,215004.0,32.8036464,-117.0846853,end_only
276,OLD CLIFFS RD,215004.0,32.799625,-117.08902,start_only
277,N TORREY PINES RD,214919.0,32.8810801,-117.2439785,both
278,02 AV,214813.0,32.7218565,-117.1629372,both
279,STREAMVIEW DR,214143.0,32.7444958,-117.0684698,both
280,CAMPUS AV,212059.0,32.757206,-117.148773,both
281,GOLDFINCH ST,208383.0,32.7497915,-117.1713854,both
282,TRADE ST,207897.0,32.888687,-117.160767,both
283,DOVE ST,206984.0,32.747375,-117.16861,end_only
284,OTHELLO AV,206942.0,32.8171818,-117.1522595,both
285,LEBON DR,206680.0,32.864976,-117.2251977,both
286,HAZARD CENTER DR,205676.0,32.770017,-117.159029,both
287,HOLLISTER ST,203805.0,32.5726105,-117.08409620000002,both
288,BRIGHTON AV,203235.0,33.02648,-117.2801505,start_only
289,JUAN ST,202486.0,32.7555343,-117.1966045,both
290,ENTERPRISE ST,202450.0,33.1363409,-117.157332,both
291,HERITAGE RD,202068.0,32.5710317,-116.9968424,both
292,HILLTOP DR,201729.0,32.7150005,-117.0840492,both
293,EXCHANGE PL,200954.0,32.8452947,-117.2677691,both
294,POTOMAC ST,200569.0,32.680237,-117.05593100000002,both
295,W CANYON AV,200252.0,32.8071702,-117.1225025,both
296,60 ST,199320.0,32.7174202,-117.1627728,both
297,SCRANTON RD,198865.0,32.891341,-117.201433,both
298,MYRTLE AV,198844.0,32.7421411,-117.0928744,start_only
299,SORRENTO VY RD,198772.0,32.8901984,-117.2084854,end_only
300,PEARL ST,198406.0,32.840359,-117.273132,both
301,HAWK ST,197329.0,32.7457676,-117.1720498,both
302,GEORGIA ST,196964.0,32.79269795,-117.20802595,both
303,ELM ST,195644.0,32.724141,-117.0871686,both
304,E CAMPUS DR,194531.0,32.7727591,-117.0671412,end_only
305,FORTUNA AV,194347.0,32.79295,-117.23587000000002,both
306,PACIFIC BEACH DR,192614.0,32.7933424,-117.2428874,both
307,LONG BRANCH AV,191095.0,33.3455296,-115.9898163,end_only
308,WHITNEY ST,190925.0,32.6342426,-117.068249,end_only
309,SOLEDAD MTN RD,189698.0,32.8123354,-117.2324595,both
310,MAGNOLIA AV,188961.0,32.8010931,-117.2323602,end_only
311,CENTRE ST,187893.0,32.7381932,-117.2301666,both
312,BOSTON AV,187654.0,32.693226,-117.100166,both
313,PONDEROSA AV,187089.0,32.8206975,-117.1322376,both
314,BABAUTA RD,186020.0,32.9369273,-117.1234372,start_only
315,THERMAL AV,185857.0,32.569172,-117.097099,both
316,MALCOLM DR,185185.0,32.753674,-117.06488,both
317,MAPLE ST,184352.0,32.73222,-117.092369,both
318,MARLESTA DR,184000.0,32.8058999,-117.1733069,both
319,COMPLEX DR,183658.0,32.929749,-117.123444,both
320,ACTIVITY RD,182927.0,32.8970281,-117.1235773,both
321,PARK RIDGE BL,182537.0,32.7997971,-117.0492814,both
322,SCRIPPS CREEK DR,181798.0,32.933853,-117.08963,both
323,CENTURY PARK CT,181561.0,32.8234308,-117.1441372,both
324,ALVARADO RD,181491.0,32.777863,-117.059669,end_only
325,JESTER ST,180831.0,32.689644,-117.058296,start_only
326,GILMARTIN DR,180831.0,32.691067,-117.054123,end_only
327,BEYER WY,180817.0,32.588242,-117.060966,both
328,PROSPECT PL,180389.0,33.084446,-116.589279,end_only
329,HOME AV,180259.0,32.67016376666667,-117.1016526,both
330,EAST DR,179709.0,32.8005928,-117.1361077,both
331,CONESTOGA WY,179512.0,32.804806,-117.076378,both
332,LOCUST ST,179502.0,32.7256083,-117.2299179,both
333,AROSA ST,178730.0,32.7652046,-117.0668553,start_only
334,MESITA DR,178730.0,32.767841,-117.06459,end_only
335,RIOS RD,178167.0,33.014133,-117.06308,both
336,MONTEZUMA  RD,177771.0,32.7699119,-117.0911785,both
337,BOUNDARY ST,177559.0,32.7475024,-117.1229023,both
338,ORCUTT AV,177186.0,32.7908817,-117.0968305,both
339,CENTRAL AV,177052.0,32.5519622,-117.0396864,both
340,NORTH PARK WY,176999.0,32.747417,-117.12656,both
341,LA JOLLA SCENIC WY,176299.0,32.8700578,-117.2408807,end_only
342,WRIGHT ST,175701.0,32.7433821,-117.1894968,start_only
343,BANDINI ST,175701.0,32.7439392,-117.1905396,end_only
344,TWIN TRAILS DR,175616.0,32.9567912,-117.1250077,both
345,FAIRMOUNT  AV,174324.0,32.7707106,-117.080692,both
346,DISTRIBUTION  AV,174254.0,32.8824298,-117.1631399,end_only
347,CARMEL COUNTRY RD,174239.0,32.9448204,-117.2157208,both
348,COLIMA ST,173011.0,32.811871,-117.263329,both
349,GENTER ST,173008.0,32.8370573,-117.2710786,both
350,STONEY PEAK DR,171956.0,32.9796327,-117.0774058,end_only
351,LINDO PASEO RD,171368.0,32.7974246,-117.1601845,both
352,GALVIN AV,171364.0,32.9205415,-117.1234121,both
353,NEWTON AV,171261.0,32.694709,-117.101594,both
354,CANON ST,170941.0,32.7221187,-117.2328921,both
355,WESTONHILL DR,170525.0,32.9144469,-117.13564,both
356,MARLBOROUGH AV,170305.0,32.7550977,-117.1061425,end_only
357,CAMINO NORTE DR,170251.0,33.0085901,-117.0954621,end_only
358,DUBOIS DR,170114.0,32.836353,-117.198273,start_only
359,FENELON ST,167762.0,32.7279453,-117.2337664,end_only
360,GIRARD AV,167340.0,32.8389513,-117.2719999,both
361,61 ST,167039.0,32.709409,-117.0667677,start_only
362,JARVIS ST,166551.0,32.7285619,-117.2287571,both
363,GLADE ST,166458.0,32.745972,-117.061928,end_only
364,OPAL ST,165939.0,32.807178,-117.25289200000002,end_only
365,NARANJA ST,165823.0,32.7085988,-117.0822552,start_only
366,COAST WK,165800.0,32.8486757,-117.266552,end_only
367,J ST,165551.0,32.7094194,-117.1575129,both
368,VALLEY CTRE DR,164597.0,32.9376997,-117.2310574,both
369,DERRICK DR,163959.0,32.826099,-117.182587,both
370,VAN DYKE AV,163829.0,32.697159633333335,-117.07517573333332,both
371,PARKDALE  AV,162796.0,32.90868,-117.154579,both
372,HUGO ST,162219.0,32.7268761,-117.2290005,both
373,27 ST,161630.0,32.572815,-117.075447,both
374,RAPPAHANNOCK AV,160078.0,32.8057105,-117.2017245,both
375,MISSION CENTER CT,159775.0,32.7735903,-117.1542676,end_only
376,PACIFIC RIM CT,159449.0,32.566898,-116.992599,end_only
377,REO DR,159312.0,32.664907,-117.0575358,both
378,BLUE CYPRESS DR,159110.0,32.92617,-117.077026,end_only
379,ROCKHURST DR,158971.0,32.7854318,-117.0628882,start_only
380,SAN JACINTO DR,158513.0,32.7048306,-117.081865,end_only
381,SHAWLINE ST,158152.0,32.8325678,-117.1638292,both
382,WHITTIER ST,158026.0,32.7370774,-117.2232332,both
383,MANITOU WY,157900.0,32.8335991,-117.1948669,end_only
384,BANNOCK AV,157900.0,32.833069,-117.199112,start_only
385,GOLDSMITH ST,157720.0,32.7424673,-117.2170547,both
386,THORN ST,157089.0,32.740314,-117.091454,both
387,MISSION GORGE PL,155410.0,32.78295,-117.0946082,both
388,25 SB ST,154756.0,32.6616815,-117.1078598,both
389,SARANAC ST,154743.0,32.7711193,-117.0546043,start_only
390,FROST ST,153915.0,32.8002972,-117.1552234,both
391,ORANGE AV,153312.0,32.753149,-117.0783072,both
392,BIRD ROCK AV,153227.0,32.8149165,-117.1676283,both
393,QUALCOMM WY,152616.0,32.7719296,-117.1400698,both
394,SIEMPRE VIVA RD,152185.0,32.5558601,-116.9392784,both
395,JENNINGS ST,149947.0,32.7205562,-117.246234,both
396,27 SB ST,149899.0,32.572815,-117.075447,both
397,WILLIE JAMES JONES AV,149584.0,32.827629,-117.201599,both
398,HIGHLAND RH RD,149393.0,32.9789453,-117.0712554,start_only
399,RAINIER AV,149229.0,32.789814,-117.0957869,both
400,PITTA ST,149181.0,32.7095847,-117.0728106,both
401,BERGER AV,148963.0,32.802067,-117.151657,end_only
402,PIPER RANCH RD,148163.0,32.5609375,-116.9538618,end_only
403,CARROLL RD,147773.0,32.8828066,-117.1567097,both
404,POINSETTIA DR,147240.0,32.7388617,-117.2289881,both
405,MONTEZUMA PL,146827.0,32.7710121,-117.070515,end_only
406,CORONADO AV,145842.0,32.5764872,-117.0857686,both
407,DWIGHT ST,145718.0,32.7440522,-117.1051652,both
408,34 ST,145557.0,32.790299133333335,-117.1892255,end_only
409,DENVER ST,145341.0,32.7813144,-117.2043796,both
410,GATEWAY CTR DR,145074.0,32.7279976,-117.2323425,both
411,K ST,144141.0,32.7083258,-117.1604615,both
412,MARGERUM AV,143480.0,32.73222,-117.092369,both
413,SAN DIEGO MISSION RD,143331.0,32.785622,-117.112343,both
414,BERYL ST,143184.0,32.808556,-117.232567,both
415,QUARTER MILE DR,143073.0,32.9565769,-117.2344484,both
416,COMMERCE  AV,142985.0,32.880119,-117.1679039,start_only
417,WENRICH DR,142127.0,32.788486,-117.068176,end_only
418,BERTING ST,141919.0,32.85721805,-117.15755725,start_only
419,N TORREY PINES CT,141377.0,32.892965,-117.2414046,end_only
420,RIDGEHAVEN CT,141344.0,32.821,-117.1226854,start_only
421,MAYA LINDA RD,141227.0,32.9060712,-117.1170915,end_only
422,ALLIED RD,140832.0,32.79501,-117.092339,end_only
423,RIO BONITO WY,140771.0,32.7764728,-117.1374687,both
424,VIA TAZON DR,140636.0,33.0245046,-117.0852815,start_only
425,MILTON ST,140414.0,32.7844961,-117.2038087,both
426,PIMPERNEL DR,140166.0,32.951855,-117.132782,end_only
427,PARK VILLAGE RD,140166.0,32.9472912,-117.1421498,start_only
428,GRANADA AV,139490.0,32.8028374,-117.1387469,both
429,SAN DIEGUITO RD,139286.0,32.9744654,-117.21663680000002,both
430,DOWDY DR,138956.0,32.8913851,-117.1468965,both
431,MERIDIAN AV,138774.0,32.7453432,-117.0575663,end_only
432,WEST ST,138458.0,32.71953371666667,-117.1464420448866,start_only
433,MT CULEBRA AV,137977.0,32.818321,-117.189034,end_only
434,COTTONWOOD RD,137173.0,32.821655,-117.260468,both
435,LUNA AV,137012.0,32.831245,-117.216232,both
436,PERSHING DR,136283.0,32.743958,-117.134644,start_only
437,UPAS ST,136224.0,32.74099,-117.137917,both
438,GRANGER ST,135970.0,32.7311331,-117.2514915,end_only
439,OPPORTUNITY RD,135280.0,32.8253641,-117.1593941,end_only
440,YERBA SANTA DR,134842.0,32.737639,-117.2226401,start_only
441,CHATEAU DR,134428.0,33.058342,-116.573013,both
442,GLENWOOD DR,133643.0,32.7414005,-117.177374,end_only
443,19 ST,133634.0,32.7174202,-117.1627728,both
444,SPRUCE RUN DR,133332.0,32.9337952,-117.0890645,both
445,DONALDSON DR,133166.0,32.806416,-117.228951,start_only
446,OBERLIN DR,132238.0,32.8936229,-117.1935511,start_only
447,CAMINO COSTA AV,132184.0,32.820221,-117.277252,end_only
448,INGELOW ST,131880.0,32.7274723,-117.2284781,both
449,CARDINAL RD,131666.0,32.7905643,-117.1575206,both
450,W MISSION BAY DR,131319.0,32.7648626,-117.2357339,both
451,HOLIDAY CT,131308.0,32.8703,-117.2330057,start_only
452,FREEMAN ST,130019.0,32.7418615,-117.2175657,start_only
